Job Title,Rating,Salary Estimate Min,Salary Estimate Max,CompanyName,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
Staff Data Scientist,4.4,$99K,$132K ,Intuit - Data,"San Diego, CA","Mountain View, CA",5001 to 10000 employees,1983,Company - Public,Computer Hardware & Software,Information Technology,$2 to $5 billion (USD),"Square, PayPal, H&R Block"
Data Scientist,3.8,$99K,$132K ,Tecolote Research,"Hill AFB, UT","Goleta, CA",501 to 1000 employees,1973,Company - Private,Aerospace & Defense,Aerospace & Defense,$50 to $100 million (USD),
Sr Data Engineer (Sr BI Developer),3.2,$99K,$132K ,Tivity Health,"Chandler, AZ","Franklin, TN",501 to 1000 employees,1981,Company - Public,Health Care Services & Hospitals,Health Care,,
Data Engineer,2.9,$99K,$132K ,hc1,"Indianapolis, IN","Indianapolis, IN",51 to 200 employees,2011,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10 to $25 million (USD),
Lead Data Scientist,4.1,$99K,$132K ,HP Inc.,"San Diego, CA","Palo Alto, CA",10000+ employees,1939,Company - Public,Computer Hardware & Software,Information Technology,,
Data Scientist,3.7,$99K,$132K ,SAIC,"Chantilly, VA","Reston, VA",10000+ employees,2013,Company - Public,Enterprise Software & Network Solutions,Information Technology,$5 to $10 million (USD),"Booz Allen Hamilton, CACI International"
RFP Data Analyst,3.2,$99K,$132K ,AllianceBernstein,"Nashville, TN","New York, NY",1001 to 5000 employees,1967,Company - Public,Investment Banking & Asset Management,Finance,$2 to $5 billion (USD),
Data Analyst,4.9,$99K,$132K ,Big Huge Games,"Timonium, MD","Lutherville Timonium, MD",51 to 200 employees,2013,Subsidiary or Business Segment,Video Games,Media,,
Data Scientist (TS/SCI),3.5,$99K,$132K ,Maxar Technologies,"Herndon, VA","Westminster, CO",5001 to 10000 employees,,Company - Public,Aerospace & Defense,Aerospace & Defense,$2 to $5 billion (USD),
Data Engineer,5,$99K,$132K ,Phantom AI,"Burlingame, CA","Burlingame, CA",1 to 50 employees,2016,Company - Private,Computer Hardware & Software,Information Technology,,
Data Scientist,4,$99K,$132K ,Noblis,"Reston, VA","Reston, VA",1001 to 5000 employees,1996,Nonprofit Organization,Consulting,Business Services,$100 to $500 million (USD),"Booz Allen Hamilton, SAIC, LMI"
Data Scientist,3.6,$99K,$132K ,Spring Health,"New York, NY","New York, NY",1 to 50 employees,2016,Company - Private,Health Care Services & Hospitals,Health Care,,
Software Engineer - Data Science,4,$99K,$132K ,ClearEdge,"Annapolis Junction, MD","Annapolis Junction, MD",51 to 200 employees,2002,Company - Private,Computer Hardware & Software,Information Technology,$5 to $10 million (USD),
Data Analyst/Engineer,3.2,$99K,$132K ,AllianceBernstein,"Nashville, TN","New York, NY",1001 to 5000 employees,1967,Company - Public,Investment Banking & Asset Management,Finance,$2 to $5 billion (USD),
NGS Scientist,5,$99K,$132K ,Arsenal Biosciences,"South San Francisco, CA","South San Francisco, CA",51 to 200 employees,2019,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,,
Data Engineer,4.8,$99K,$132K ,GetWellNetwork,"Bethesda, MD","Bethesda, MD",201 to 500 employees,2000,Company - Private,Health Care Services & Hospitals,Health Care,$50 to $100 million (USD),"Epic, CipherHealth"
Data Scientist,4.5,$99K,$132K ,TACG Solutions,"Dayton, OH","Beavercreek, OH",51 to 200 employees,2006,Company - Private,Consulting,Business Services,,"Copper River Shared Services, Chenega Corporation, Deloitte"
Senior Data Engineer,4.7,$99K,$132K ,Scoop,"San Francisco, CA","San Francisco, CA",51 to 200 employees,2015,Company - Private,Internet,Information Technology,,
Senior Data Scientist,4.5,$99K,$132K ,Novetta,"Herndon, VA","Mc Lean, VA",501 to 1000 employees,2012,Company - Private,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD),"Leidos, CACI International, Booz Allen Hamilton"
Data Engineer,4.2,$99K,$132K ,IZEA,"Winter Park, FL","Winter Park, FL",51 to 200 employees,2006,Company - Public,Advertising & Marketing,Business Services,$25 to $50 million (USD),"Linqia, Collective Bias"
Business Intelligence Analyst,3.4,$99K,$132K ,Montway Inc,"Schaumburg, IL","Schaumburg, IL",51 to 200 employees,2006,Company - Private,Shipping,Transportation & Logistics,,
Sr. ML/Data Scientist - AI/NLP/Chatbot,3.8,$99K,$132K ,Juniper Networks,"Cupertino, CA","Sunnyvale, CA",5001 to 10000 employees,1996,Company - Public,Telecommunications Services,Telecommunications,$2 to $5 billion (USD),
Data Scientist,4.7,$90K,$109K ,1904labs,"Saint Louis, MO","Saint Louis, MO",51 to 200 employees,2016,Company - Private,IT Services,Information Technology,,"Slalom, Daugherty Business Solutions"
Data Scientist,3.6,$90K,$109K ,XSELL Technologies,"Chicago, IL","Chicago, IL",51 to 200 employees,2014,Company - Private,Enterprise Software & Network Solutions,Information Technology,,
Data Engineer,4.2,$90K,$109K ,IZEA,"Winter Park, FL","Winter Park, FL",51 to 200 employees,2006,Company - Public,Advertising & Marketing,Business Services,$25 to $50 million (USD),"Linqia, Collective Bias"
Sr. ML/Data Scientist - AI/NLP/Chatbot,3.8,$90K,$109K ,Juniper Networks,"Cupertino, CA","Sunnyvale, CA",5001 to 10000 employees,1996,Company - Public,Telecommunications Services,Telecommunications,$2 to $5 billion (USD),
Data Scientist,5,$90K,$109K ,Notion Labs,"San Francisco, CA","San Francisco, CA",1 to 50 employees,2016,Company - Private,Enterprise Software & Network Solutions,Information Technology,,
Senior Data Engineer,4.9,$90K,$109K ,Lendio,"Lehi, UT","Lehi, UT",201 to 500 employees,2011,Company - Private,Lending,Finance,$50 to $100 million (USD),
Data Engineer,4.4,$90K,$109K ,Direct Agents,"Culver City, CA","New York, NY",51 to 200 employees,2003,Company - Private,Advertising & Marketing,Business Services,$25 to $50 million (USD),
Data Scientist,3.3,$90K,$109K ,NAVEX Global,"Lake Oswego, OR","Lake Oswego, OR",1001 to 5000 employees,2012,Company - Private,Computer Hardware & Software,Information Technology,$100 to $500 million (USD),
Machine Learning Engineer,3.2,$90K,$109K ,Triplebyte,Remote,"San Francisco, CA",51 to 200 employees,2015,Company - Private,Computer Hardware & Software,Information Technology,,
Machine Learning Engineer,3.2,$90K,$109K ,Triplebyte,Remote,"San Francisco, CA",51 to 200 employees,2015,Company - Private,Computer Hardware & Software,Information Technology,,
Senior Data Engineer,4.9,$90K,$109K ,Lendio,"Lehi, UT","Lehi, UT",201 to 500 employees,2011,Company - Private,Lending,Finance,$50 to $100 million (USD),
Data Scientist,4.2,$90K,$109K ,Upstart,"San Mateo, CA","San Mateo, CA",201 to 500 employees,2012,Company - Private,Lending,Finance,,
Data Analyst,4.5,$90K,$109K ,Envision LLC,"San Francisco, CA","Saint Louis, MO",201 to 500 employees,1994,Company - Private,Staffing & Outsourcing,Business Services,$25 to $50 million (USD),
Data Engineer,4.8,$90K,$109K ,AppLovin,"Palo Alto, CA","Palo Alto, CA",201 to 500 employees,2012,Company - Private,Video Games,Media,,
Data Integration and Modeling Engineer,3.8,$90K,$109K ,ISO New England,"Holyoke, MA","Holyoke, MA",501 to 1000 employees,1997,Nonprofit Organization,Utilities,"Oil, Gas, Energy & Utilities",,
Tableau Data Engineer 20-0117,3.7,$90K,$109K ,Relativity,"Chicago, IL","Chicago, IL",1001 to 5000 employees,2001,Company - Private,Enterprise Software & Network Solutions,Information Technology,,
Senior Data Scientist,3.3,$90K,$109K ,Tempo Automation,"San Francisco, CA","San Francisco, CA",51 to 200 employees,2013,Company - Private,Electrical & Electronic Manufacturing,Manufacturing,$5 to $10 million (USD),
AI Data Scientist,3.3,$90K,$109K ,MITRE,"McLean, VA","Bedford, MA",5001 to 10000 employees,1958,Nonprofit Organization,Federal Agencies,Government,$1 to $2 billion (USD),"Battelle, General Atomics, SAIC"
Machine Learning Engineer,5,$90K,$109K ,"Expedition Technology, Inc.","Herndon, VA","Dulles, VA",1 to 50 employees,2013,Company - Private,Aerospace & Defense,Aerospace & Defense,$10 to $25 million (USD),
Research Scientist Patient Preferences (Remote),3.8,$90K,$109K ,Evidera,"Bethesda, MD","Bethesda, MD",501 to 1000 employees,2013,Subsidiary or Business Segment,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$100 to $500 million (USD),"IQVIA, ICON"
Data Scientist,3.4,$90K,$109K ,Plymouth Rock Assurance,"Woodbridge, NJ","Boston, MA",1001 to 5000 employees,1982,Company - Private,Insurance Carriers,Insurance,$10 to $25 million (USD),"Arbella Insurance, Safety Insurance"
Scientist - Biomarker and Flow Cytometry,2.4,$90K,$109K ,Crown Bioscience,"San Diego, CA","San Diego, CA",501 to 1000 employees,2006,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$50 to $100 million (USD),
Data Scientist,2.9,$90K,$109K ,GNS Healthcare,"Cambridge, MA","Cambridge, MA",51 to 200 employees,2000,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10 to $25 million (USD),
Analytics Manager,4.4,$90K,$109K ,OneMagnify,"Dearborn, MI","Detroit, MI",201 to 500 employees,1967,Company - Private,Advertising & Marketing,Business Services,,
Data Scientist,2.9,$90K,$109K ,SPECTRUM,"Maryland Heights, MO","Stamford, CT",10000+ employees,2016,Subsidiary or Business Segment,"Cable, Internet & Telephone Providers",Telecommunications,$10+ billion (USD),
Staff Scientist- Upstream PD,2.7,$90K,$109K ,Advanced BioScience Laboratories,"Rockville, MD","Rockville, MD",201 to 500 employees,1961,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$50 to $100 million (USD),
Data Engineer,4.2,$90K,$109K ,Procore Technologies,"Carpinteria, CA","Carpinteria, CA",1001 to 5000 employees,2002,Company - Private,Computer Hardware & Software,Information Technology,,
Sr Scientist - Extractables & Leachables,3.5,$90K,$109K ,Ritedose,"Columbia, SC","Columbia, SC",201 to 500 employees,1995,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$100 to $500 million (USD),
ELISA RESEARCH SCIENTIST (CV-15),,$90K,$109K ,Covid-19 Search Partners,"Hauppauge, NY",,,,,,,,
